epoch,avg_loss,accuracy
1,4.67489021,0.305221
2,4.54320017,0.726908
3,4.41216584,0.726908
4,4.28193693,0.726908
5,4.15269969,0.726908
6,4.02468284,0.726908
7,3.89816191,0.726908
8,3.77345991,0.726908
9,3.65094159,0.726908
10,3.53099885,0.726908
11,3.41402589,0.726908
12,3.30038578,0.726908
13,3.19037396,0.726908
14,3.08418740,0.726908
15,2.98190805,0.726908
16,2.88350495,0.726908
17,2.78885341,0.726908
18,2.69776413,0.726908
19,2.61001414,0.726908
20,2.52537308,0.726908
21,2.44362199,0.726908
22,2.36456434,0.726908
23,2.28803100,0.726908
24,2.21388100,0.726908
25,2.14199974,0.726908
26,2.07229607,0.726908
27,2.00469878,0.726908
28,1.93915315,0.726908
29,1.87561768,0.726908
30,1.81406114,0.726908
31,1.75445991,0.726908
32,1.69679572,0.726908
33,1.64105365,0.726908
34,1.58722045,0.726908
35,1.53528307,0.726908
36,1.48522751,0.726908
37,1.43703783,0.726908
38,1.39069543,0.726908
39,1.34617848,0.726908
40,1.30346152,0.726908
41,1.26251530,0.726908
42,1.22330668,0.726908
43,1.18579874,0.726908
44,1.14995092,0.726908
45,1.11571933,0.726908
46,1.08305712,0.726908
47,1.05191484,0.726908
48,1.02224094,0.726908
49,0.99398222,0.726908
50,0.96708429,0.726908
